Mcf;Americas;Northeast Asia;Mideast;South/SE Asia;Europe;Global;Month-on-month change
cze.17;198 750,847;;;;;;
lip.17;139 495,291;;;;;;
sie.17;271 183,107;;;;;;
wrz.17;124 258,397;;;;;;
paź.17;267 085,531;;;;;;
lis.17;344 579,620;;;;;;
gru.17;335 239,294;;;;;;
sty.18;526 988,346;;;;;;
lut.18;401 429,347;;;;;;
mar.18;532 278,359;;;;;;
kwi.18;207 252,198;;;;;;
maj.18;341 287,761;;;;;;
cze.18;268 287,223;;;;;;
lip.18;399 567,144;;;;;;
sie.18;342 406,191;;;;;;
wrz.18;198 455,956;;;;;;
paź.18;606 414,284;;;;;;
lis.18;526 247,554;;;;;;
gru.18;348 967,842;;;;;;
sty.19;721 253,918;;;;;;
lut.19;264 504,034;;;;;;
mar.19;396 366,129;;;;;;
kwi.19;345 942,336;;;;;;
maj.19;248 882,898;;;;;;
cze.19;284 980,793;;;;;;
lip.19;393 932,478;;;;;;
sie.19;676 156,167;;;;;;
wrz.19;234 730,165;;;;;;
paź.19;273 243,873;;;;;;
lis.19;807 547,573;;;;;;
gru.19;610 171,692;;;;;;
sty.20;652 224,934;;;;;;
lut.20;840 507,287;;;;;;
mar.20;212 239,710;;;;;;
kwi.20;596 266,052;;;;;;
maj.20;394 755,386;;;;;;
cze.20;407 220,233;;;;;;
lip.20;532 842,023;;;;;;
sie.20;197 831,879;;;;;;
wrz.20;249 273,875;;;;;;
paź.20;518 478,029;;;;;;
lis.20;352 229,814;;;;;;
gru.20;857 155,137;;;;;;
sty.21;637 669,699;;;;;;
lut.21;1 263 472,690;;;;;;
mar.21;414 502,362;;;;;;
kwi.21;464 648,149;;;;;;
maj.21;470 403,644;;;;;;
cze.21;875 217,683;;;;;;
lip.21;977 991,070;;;;;;
sie.21;784 166,482;;;;;;
wrz.21;844 508,766;;;;;;
Source: Korea Customs Service;;;;;;;
;;;;;;;
Korea LNG import price;;;;;;;
$/MMBtu;Weighted av.*;U.S.**;Spread;;;;
gru.16;$7,29;$7,28;-$0,01;;;;
sty.17;$7,92;$9,21;$1,29;;;;
lut.17;$8,02;;;;;;
mar.17;$7,72;$8,66;$0,95;;;;
kwi.17;$7,92;$5,47;-$2,45;;;;
maj.17;$8,32;$7,29;-$1,03;;;;
cze.17;$7,84;$7,28;-$0,57;;;;
lip.17;$7,93;$8,24;$0,31;;;;
sie.17;$8,18;$8,06;-$0,12;;;;
wrz.17;$8,08;$8,19;$0,11;;;;
paź.17;$8,08;$7,75;-$0,32;;;;
lis.17;$7,68;$7,81;$0,13;;;;
gru.17;$8,26;$7,79;-$0,47;;;;
sty.18;$8,68;$8,73;$0,05;;;;
lut.18;$9,94;$10,05;$0,11;;;;
mar.18;$9,37;$9,42;$0,05;;;;
kwi.18;$9,30;$7,85;-$1,46;;;;
maj.18;$9,79;$8,19;-$1,60;;;;
cze.18;$9,78;$7,96;-$1,82;;;;
lip.18;$9,99;$8,54;-$1,45;;;;
sie.18;$10,15;$8,55;-$1,60;;;;
wrz.18;$10,76;$9,42;-$1,34;;;;
